,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
274,hitakrit,657,1009,1006,1128,754,1276,IN
275,kalpurush,135,1093,190,1245,134,944,BD
276,savagefinds,766,1183,331,1551,241,894,US
277,jeremiahparker,106,1063,101,1317,310,1134,US
278,kaya0708,382,1007,273,1185,133,914,TR
279,arush290810,139,1013,212,1100,510,1148,IN
280,rooppesh,627,1061,211,1264,582,1217,IN
281,micromateo,873,1009,240,1160,678,1004,CA
282,sync1,1345,1164,318,1393,162,1073,TN
283,c_hermens,340,1168,267,1572,294,1174,NZ
284,levi_fl,351,1107,363,1184,134,965,IE
285,arushvemuri,116,1095,213,1083,128,851,US
286,joemie,317,1120,295,1303,939,1141,DE
287,rajattiwari204,237,1029,531,1283,414,967,IN
288,hsc_anma,331,1059,102,1144,106,1095,AU
289,radjorey,608,1195,406,1543,277,944,PH
290,stoeree,221,1148,1288,1731,303,1385,BE
291,silenticecream,381,1130,400,1535,116,1245,AU
292,serdarates,377,1063,136,1319,447,1110,TR
293,valeig33,162,1074,193,1348,1562,1346,BR
294,girishsharma2096,624,1184,156,1450,890,1252,IN
295,shridhar_rao,246,1146,133,1441,116,992,IN
296,mark22112013,415,1075,153,1339,251,1111,RU
297,kvikrant,152,1181,845,1508,203,1017,IN
298,mayukhsen7,210,1092,716,1429,204,997,IN
299,joshinbaja,1735,1109,382,1241,115,891,MX
300,deguus,251,1047,750,1577,205,958,NL
301,boonie2000,749,1120,500,1461,211,1250,UA
302,lizathecarino,813,1193,1093,1239,289,1121,BD
303,oceanbetweenus,747,1044,317,1321,471,1035,AQ
304,siddharthralse,734,1107,325,1397,278,1127,IN
305,drewtate,427,1147,123,1289,292,999,BA
306,skitsammaaa,345,1198,265,1556,299,1266,SE
307,yorkshireboi,236,1091,341,1448,237,1138,GB
308,cheungbat68,555,1176,275,982,628,1258,GB
309,ruzgaryengel,154,1156,146,1397,204,1312,TR
310,statcat,452,1185,677,1473,260,1106,GB
311,reyanshthukral007,160,1136,1145,1251,121,958,IN
312,avyukt1001,214,1162,812,1278,790,1316,IN
313,sartak12,211,1093,421,1186,522,1098,IN
314,darkpeter,670,1180,227,1257,223,1039,HU
315,zeldamazzy,386,1195,119,1347,537,943,US
316,louis153,251,1086,174,1289,253,970,FR
317,parinitagal,412,1125,360,1261,107,861,MY
318,tamara8,296,1118,1711,1588,295,881,UA
319,resilientfox,827,1108,854,1297,218,1117,NG
320,mikolaj_ch,420,1138,538,1315,352,1335,PL
321,vesperious,305,1116,556,1311,404,1313,HR
322,keshavsonar,511,1188,709,1229,434,1064,IN
323,lightyagami1729,236,1088,168,1216,763,1020,IN
324,arthav_1,256,1041,109,1117,137,1017,NO
325,theronimtnediser,450,1182,1102,1571,847,1376,UK
326,eugeneshch,290,1426,1066,1715,163,1319,BY
327,stoma1234,437,1563,593,1476,120,1360,RU
328,rohan_h,225,1474,1098,1802,4445,1166,IN
329,gamma_integrator,3110,1595,322,1530,601,1380,IN
330,melleyees,2541,1452,375,1516,957,1479,SE
331,tudorruxanda,1837,1587,440,1728,408,1341,RO
332,haktanbasaran,877,1496,230,1373,842,1179,TR
333,juliejones,333,1519,234,1706,4421,1455,JP
334,nerdydave2017,2407,1505,622,1698,369,1138,NG
335,fersho,9763,1463,197,1510,1567,1257,MX
336,abramov_nikita,385,1587,213,1681,814,1626,RU
337,izmamnik123,4687,1448,998,1577,588,1240,BG
338,pratiktambi2013,307,1409,276,1391,199,1221,IN
339,mayur23mahajan,287,1477,237,1615,253,1401,IN
