,gameid,white_id,white_rating,white_country,white_games,white_win_last_10,white_inaccuracies,white_mistakes,white_blunder,white_acpl,black_id,black_rating,black_country,black_games,black_win_last_10,black_inaccuracies,black_mistakes,black_blunder,black_acpl,game_type,opening,winner,win_by
1897,N03hu4Gw,slapdick,1399,US,1568.0,6,0,0,0,21,javidan7,1420,PL,1455.0,7,1,0,1,81,bullet,Caro-Kann Defense,white,resign
1898,CXeGKZV9,javidan7,1310,PL,1455.0,2,3,2,1,30,ozzyd,1368,US,13962.0,5,7,0,3,56,bullet,Horwitz Defense,white,mate
1899,Yn5sHf9H,kletterinho,1413,DE,788.0,3,10,3,10,143,sau6402,1470,IN,2058.0,6,4,2,10,142,blitz,Queen's Pawn Game: Symmetrical Variation,draw,draw
1900,rCtYe9PH,sau6402,1461,IN,2058.0,5,3,4,5,105,paintron,1428,RU,179.0,6,1,2,4,85,blitz,Queen's Gambit Accepted: Normal Variation,black,resign
1901,8kFWhmZ9,sau6402,1461,IN,2058.0,5,10,4,7,104,orendel,1470,DE,3030.0,5,10,6,6,105,blitz,Queen's Gambit Declined: Marshall Defense,draw,draw
1902,HREDLnXT,fawkesmulder,1436,US,3648.0,7,3,1,0,27,sau6402,1496,IN,2058.0,5,3,6,0,41,blitz,"Queen's Pawn Game: Colle System, Grünfeld Formation",white,mate
1903,9oEWsRaK,quarterpoundcheese,1439,AZ,1759.0,4,5,0,0,33,sau6402,1481,IN,2058.0,5,7,1,1,52,blitz,Queen's Gambit Declined: Modern Variation,white,resign
1904,mD3q5aDh,sau6402,1125,IN,250.0,5,2,0,0,19,crusthom,1104,DE,4401.0,6,3,2,1,71,bullet,Indian Defense,white,mate
1905,ZU3R60jE,gian_lc,1473,MG,86.0,6,4,0,1,56,sau6402,1474,IN,2058.0,8,3,1,2,95,blitz,Indian Defense: Normal Variation,white,resign
1906,YveIYvYX,acw420,1531,AU,3131.0,4,2,2,3,186,erenseekingfreedom,1654,IN,46.0,5,4,1,3,121,blitz,Englund Gambit Complex: Soller Gambit,black,resign
1907,opYfJXWN,vivek-515ek,1854,IN,2124.0,6,1,1,5,113,acw420,1457,AU,3131.0,4,4,1,3,76,blitz,King's Indian Defense: Larsen Variation,black,resign
1908,wPGsXM6s,rjd00818,1529,US,83.0,3,4,1,1,76,acw420,1475,AU,3131.0,4,4,0,2,93,blitz,Scandinavian Defense: Modern Variation,white,resign
1909,0E30ElJQ,boberczus,1533,PL,2655.0,4,0,0,0,24,acw420,1483,AU,3131.0,3,2,0,1,153,blitz,Scandinavian Defense: Marshall Variation,black,resign
1910,IqOAfhjP,ahmed--nasr,1228,TN,760.0,3,6,5,6,110,tutur-diatmika_16,1253,ID,245.0,4,6,2,7,84,bullet,Modern Defense,black,resign
1911,uMLbmr4y,ahmed--nasr,1244,TN,760.0,4,2,0,4,82,janboy2003,1237,PH,111.0,2,1,1,2,60,bullet,Slav Defense: Modern Line,black,resign
1912,WA73XtO7,gabribarba,1230,IT,3557.0,7,10,3,5,62,ahmed--nasr,1215,TN,760.0,3,9,2,2,45,bullet,Hungarian Opening,black,outoftime
1913,hUUo9vSG,ahmed--nasr,1538,TN,3267.0,4,3,0,4,94,razarrzgar,1658,IQ,340.0,5,5,0,4,84,blitz,Trompowsky Attack,black,resign
1914,LZcq0w4e,hakim26,1782,LY,3723.0,6,2,4,7,86,ahmed--nasr,1536,TN,3267.0,5,2,4,5,70,blitz,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation",black,resign
1915,UL067ZaR,ahmed--nasr,1747,TN,588.0,7,1,0,1,50,bombitarodriguez,1674,AR,442.0,5,3,1,1,63,rapid,Slav Defense: Modern Line,black,timeout
1916,QCmb7haY,oli_m,1201,AT,1947.0,5,0,0,3,91,ahmed--nasr,1237,TN,760.0,4,0,0,3,94,bullet,Queen's Pawn Game: Mason Variation,white,resign
1917,sil57wt2,ahmed--nasr,1717,TN,588.0,5,4,1,1,73,kacperczer,1735,PL,1156.0,6,2,0,0,15,rapid,Trompowsky Attack,black,resign
1918,OuDmNfsm,luislg,1689,CU,259.0,3,3,1,3,72,xaiano,1673,GB,385.0,8,1,0,2,30,rapid,"English Opening: King's English Variation, Reversed Closed Sicilian",black,mate
1919,yg5jDikN,jokerinchess09,1675,DE,486.0,5,4,0,3,37,luislg,1709,CU,259.0,5,6,4,3,59,rapid,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",white,resign
1920,2CXZ9vak,luislg,1699,CU,259.0,5,4,0,0,29,yato555,1732,NI,1146.0,5,2,3,1,73,rapid,Sicilian Defense: Closed,white,timeout
1921,Vml1sYNj,teekaye,1691,US,388.0,1,3,1,0,46,luislg,1691,CU,259.0,5,4,0,3,89,rapid,Trompowsky Attack,white,resign
1922,6T9FXaOv,fedor_of_samara,1703,RU,1255.0,6,4,4,2,76,luislg,1702,CU,259.0,3,2,3,5,99,rapid,Sicilian Defense: Alapin Variation,white,timeout
1923,3NgDrEKO,bosun1234,1619,US,458.0,7,5,4,3,41,estebanacosta112,1602,CO,1222.0,1,6,4,4,56,rapid,Philidor Defense,white,mate
1924,6i9mZIHs,hamzaalshref123,1558,SY,189.0,5,3,2,4,88,bosun1234,1572,US,458.0,4,3,1,3,49,rapid,French Defense: Knight Variation,black,resign
1925,visBP79z,danimoradi1422,1991,IR,797.0,4,5,4,5,77,bosun1234,1537,US,458.0,4,9,2,5,66,rapid,French Defense: Two Knights Variation,black,resign
1926,r4jYysyg,chasenelson,1419,US,1584.0,3,3,3,5,125,bosun1234,1443,US,274.0,4,2,3,7,159,blitz,Rat Defense: Small Center Defense,white,mate
1927,OTFGttcc,bosun1234,1524,US,458.0,3,10,5,2,44,marie25,1904,GE,3755.0,5,6,4,3,45,rapid,Owen Defense,draw,draw
1928,lVyiyJED,vercingetorige,1446,IT,2385.0,2,2,2,1,93,ipseipse,1422,US,12570.0,6,1,1,0,32,blitz,Philidor Defense,black,resign
1929,u5882lnO,vercingetorige,1409,IT,2385.0,4,3,2,9,104,nnares,1417,IN,1841.0,6,3,1,8,125,blitz,Pirc Defense: Roscher Gambit,white,resign
